Experiment No.,Feature Set,Accuracy,Macro F1,Weighted F1,Error Rate,Negative F1,Neutral F1,Positive F1,formal F1,other F1,emoji-heavy F1,slang-heavy F1,sarcasm F1,Selected for Final Model?
exp06ref,TF-IDF unigram + bigram (reference),0.5865,0.5453,0.5622,0.4135,0.4013,0.6682,0.5664,0.5367,0.5707,0.5437,0.6812,0.5702,No
exp07,Character n-grams (3-5),0.6121,0.5846,0.5989,0.3879,0.4889,0.6767,0.5882,0.5763,0.5968,0.5834,0.6101,0.6556,No
exp08,TF-IDF + social media features,0.5855,0.5439,0.5613,0.4145,0.4006,0.6682,0.563,0.5359,0.5532,0.55,0.6785,0.75,No
exp09,Hybrid feature set,0.6165,0.5945,0.6078,0.3835,0.5209,0.6734,0.5893,0.5881,0.5844,0.5963,0.6834,0.75,YES
