Model,Dataset,Feature Used,Accuracy,Precision (macro),Recall (macro),Macro F1,Weighted F1,MCC,Cohen Kappa,Brier,WGA,Worst Subgroup,Best / Not Best,Negative Precision,Negative Recall,Negative F1,Neutral Precision,Neutral Recall,Neutral F1,Positive Precision,Positive Recall,Positive F1
LogisticRegression,TweetEval,TF-IDF unigram + bigram,0.58,0.5738,0.5782,0.5672,0.5781,0.3349,0.3314,0.186,0.5723,formal,BEST,0.6345,0.4549,0.5299,0.6041,0.6397,0.6214,0.4827,0.64,0.5503
LinearSVM,TweetEval,TF-IDF unigram + bigram,0.5876,0.5896,0.5727,0.5648,0.5787,0.3385,0.3303,0.1766,0.5792,formal,Not Best,0.667,0.3847,0.4879,0.5957,0.7083,0.6471,0.5061,0.6253,0.5594
MultinomialNB,TweetEval,TF-IDF unigram + bigram,0.5791,0.5787,0.5631,0.5589,0.5722,0.3219,0.3155,0.179,0.5748,formal,Not Best,0.6434,0.4021,0.4949,0.5847,0.6906,0.6333,0.5079,0.5966,0.5487
XGBoost,TweetEval,TF-IDF unigram + bigram,0.5542,0.6305,0.4775,0.4519,0.4831,0.267,0.2095,0.1964,0.5201,emoji-heavy,Not Best,0.7698,0.1128,0.1968,0.5365,0.9055,0.6738,0.5854,0.4143,0.4852
RandomForest,TweetEval,TF-IDF unigram + bigram,0.5394,0.6516,0.4688,0.4169,0.445,0.2449,0.1846,0.2002,0.5263,formal,Not Best,0.8603,0.0388,0.0742,0.5287,0.905,0.6675,0.5656,0.4627,0.509
