Train Dataset,Test Dataset,Track,Subgroup,Source AOD,Target AOD,Fairness Drift,Source DIR,Target DIR,DIR Drift,Drift > 0.10?,Fairness-Stable or Domain-Sensitive?
TweetEval,SemEval-2014,A,slang-heavy,0.005228585992087975,,,1.041601689408707,0.0,1.041601689408707,No,Fairness-stable
TweetEval,SemEval-2014,A,sarcasm,0.06656244770214668,-0.09013342375430831,0.156695871456455,1.3271372876636034,1.1753874482123676,0.15174983945123577,Yes,Domain-sensitive
TweetEval,Sentiment140,B,emoji-heavy,-0.012843006834991186,2.7755575615628914e-17,0.012843006834991214,1.0483968542044766,1.5267659170098193,0.47836906280534275,No,Fairness-stable
TweetEval,Sentiment140,B,slang-heavy,0.005228585992087975,1.3877787807814457e-17,0.005228585992087961,1.041601689408707,1.1031545643134535,0.06155287490474648,No,Fairness-stable
TweetEval,Sentiment140,B,sarcasm,0.06656244770214668,1.0408340855860843e-17,0.06656244770214667,1.3271372876636034,1.1744353207767841,0.15270196688681925,No,Fairness-stable
