Comparison,Factor Varied,Model A,Model B,A Macro F1,B Macro F1,A Mean AOD,B Mean AOD,Delta AOD,A Sarcasm AOD,B Sarcasm AOD,Delta Sarcasm AOD,Fairer Model,McNemar p
Part A — Loss function,log loss vs hinge loss,Logistic Regression (Exp 1),Linear SVM (Exp 2),0.5672127992844499,0.5648315510481183,0.03118474765203007,0.032861542086480656,0.0016767944344505854,0.05709977346366655,0.05830523283332434,0.0012054593696577895,Logistic Regression,0.0018251507103564935
Part B — Tree growth,level-wise vs leaf-wise,XGBoost (Exp 5),LightGBM (new),0.45190861769078583,0.5300765569284756,0.033624896714933405,0.01941967616325552,-0.014205220551677885,-0.07052882712595938,-0.030151651699367465,0.040377175426591916,LightGBM,
