Subgroup,Number of Samples,Accuracy,Macro F1,Macro F1 CI Low,Macro F1 CI High,FPR,FNR,Misclassification Rate,F1 Gap,Risk Level,Negative Precision,Negative Recall,Negative F1,Neutral Precision,Neutral Recall,Neutral F1,Positive Precision,Positive Recall,Positive F1
emoji-heavy,696,0.6207,0.6022,0.5624,0.6401,0.199,0.4072,0.3793,0.0221,Low,0.6602,0.4658,0.5462,0.4932,0.6207,0.5496,0.7309,0.6918,0.7108
slang-heavy,60,0.6167,0.618,0.4915,0.7327,0.1906,0.3627,0.3833,0.0378,Low,0.6667,0.5882,0.625,0.6842,0.5,0.5778,0.5385,0.8235,0.6512
sarcasm,14,0.7857,0.7897,0.4675,1.0,0.1124,0.1619,0.2143,0.2096,"Low (exploratory, n=14)",0.8,0.8,0.8,0.8333,0.7143,0.7692,0.6667,1.0,0.8
formal,10398,0.592,0.5801,0.5707,0.59,0.2206,0.4032,0.408,0.0,Reference,0.6531,0.4924,0.5615,0.6154,0.6407,0.6278,0.4745,0.6573,0.5511
