Model,Dataset,Feature Used,Accuracy,Precision,Recall,Macro F1,Weighted F1,MCC,Cohen Kappa,Brier Score,WGA,Worst Subgroup,Subgroup F1 Variance,Best Parameters,Fit Time (min),Best / Not Best
LogisticRegression,TweetEval,TF-IDF unigram + bigram,0.5800227938782155,0.5737589871751884,0.5782171901983245,0.5672127992844499,0.5780763074966988,0.33487326225168945,0.331362951645948,0.18602007977748383,0.5723216003077515,formal,0.002928888794078561,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.7,BEST
LinearSVM,TweetEval,TF-IDF unigram + bigram,0.5875936177140997,0.5895953569109209,0.5727420593213245,0.5648315510481183,0.5786976824088114,0.33852832783471976,0.33027085414822077,0.1766178634187873,0.5792460088478554,formal,0.003953787424416635,{'estimator__C': 1},2.2,Not Best
MultinomialNB,TweetEval,TF-IDF unigram + bigram,0.5791273200911755,0.5786766475433944,0.563093500125552,0.5589445172521585,0.5721640456347706,0.3218602907964338,0.3155082440971253,0.17897904892190375,0.5748220811694557,formal,0.00010439663614423449,{'alpha': 0.1},0.0,Not Best
XGBoost,TweetEval,TF-IDF unigram + bigram,0.5542168674698795,0.630532903226026,0.4775377161329987,0.45190861769078583,0.48306925526200695,0.2670464615608534,0.20953179808197375,0.1963965374333008,0.5201149425287356,emoji-heavy,0.00045582376505537165,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",56.2,Not Best
RandomForest,TweetEval,TF-IDF unigram + bigram,0.5394008466297623,0.6515632905334412,0.46883692281080097,0.4169086076313692,0.44501679908040276,0.24488126157294943,0.18461421451519366,0.2002285056991139,0.5262550490478938,formal,0.001065567584457108,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",56.0,Not Best
