Condition,Dataset,Macro F1,Accuracy,Negative Class Recall,emoji-heavy AOD,slang-heavy AOD,sarcasm AOD,Mean AOD,Sarcasm DIR,formal F1,other F1,emoji-heavy F1,slang-heavy F1,sarcasm F1,Better Than Baseline?
Multinomial NB (Exp 3 baseline),TweetEval,0.5589445172521585,0.5791273200911755,0.40206445115810674,-0.014143846534777437,0.0022997884795539956,-0.001821327269468732,0.006088320761266722,0.9940964172183847,0.5516869236823582,0.5464157142250317,0.5614762634340326,0.57652931230167,0.546031746031746,reference
Multinomial NB + SMOTE,TweetEval,0.5497810865914539,0.5499837186584174,0.7550352467270897,-0.014178933709534122,0.009412965751028188,-0.022316515944253778,0.015302805134938697,0.7684576158450964,0.550251065849654,0.47909340007600987,0.5256687510856349,0.5095814989770452,0.39031339031339035,No
Complement NB,TweetEval,0.5676842984636685,0.5655323998697492,0.6618831822759316,-0.011085909743039824,0.019445691250392184,-0.03598733268468374,0.02217297789270525,0.6301665414171778,0.5636806357761293,0.5289528033640304,0.5652522737490058,0.6318090993733588,0.3444444444444444,No
Complement NB + SMOTE,TweetEval,0.5385342260100362,0.5393194399218496,0.7938066465256798,-0.012465641248804712,0.0005483702921141679,-0.019597537405093093,0.010870516315337324,0.7858024535859133,0.5379291089764057,0.4825657676322712,0.517934375597184,0.4925810904071774,0.3978835978835979,No
