Experiment No.,Feature Set,Model Used,Dataset,Accuracy,Macro F1,Weighted F1,Error Rate,formal F1,other F1,emoji-heavy F1,slang-heavy F1,sarcasm F1,Selected for Final Model?
exp06ref,TF-IDF unigram + bigram (reference),LogisticRegression,TweetEval,0.5865353305112341,0.5452957681314549,0.5622010983115927,0.4134646694887659,0.5366736730308039,0.5706897341807403,0.5436892142048979,0.6811721611721612,0.5702380952380953,No
exp07,Character n-grams (3-5),LogisticRegression,TweetEval,0.6120970367958319,0.5846013602873888,0.5988695138393045,0.38790296320416806,0.5763334986638007,0.5967845543165909,0.5833761317215352,0.6101360245721807,0.6555555555555556,No
exp08,TF-IDF + social media features,LogisticRegression,TweetEval,0.5854770433083686,0.5439225788990002,0.5613126151882737,0.4145229566916314,0.5359392542363371,0.5531942434520088,0.5499783263732556,0.6785022952270339,0.75,No
exp09,Hybrid feature set,LogisticRegression,TweetEval,0.6164929990231195,0.5945382612050498,0.6078399899708253,0.3835070009768805,0.5880868471879345,0.5844074805621992,0.5962973967972331,0.6833997967002893,0.75,YES
