Variant,Accuracy,Macro F1,Weighted F1,MCC,Mean AOD,emoji-heavy AOD,slang-heavy AOD,sarcasm AOD,WGA,Worst Subgroup,AOD vs Equal,Improves Fairness?
Equal-weighted,0.5952458482578965,0.5516202312496964,0.5681477512567125,0.34472337981648976,0.027184221844874474,-0.01911081927478991,0.01564319134151466,0.04679865491831886,0.5847701149425287,emoji-heavy,0.0,reference
Performance-weighted,0.5958971019211983,0.5584603511997418,0.5741212726161923,0.3461141785632334,0.030673882827349775,-0.01599242216720845,0.020796797786390292,0.05523242852845059,0.5869397961146374,formal,0.003489660982475301,No
Fairness-weighted,0.5934549006838163,0.5621890320127113,0.5769379987119035,0.34063945482670593,0.012324184971526637,-0.0167863369171444,0.016746360769461583,-0.003439857227973931,0.5851125216387767,formal,-0.014860036873347837,Yes
