Subgroup,Number of Samples,Accuracy,Macro F1,Macro F1 CI Low,Macro F1 CI High,FPR,FNR,Misclassification Rate,F1 Gap,FPR Gap,FNR Gap,Error Rate Gap,Risk Level,Main Interpretation
emoji-heavy,696,0.6206896551724138,0.6022089896993377,0.5623916085884166,0.6401248013821836,0.1989625317211524,0.40724434026632755,0.3793103448275862,-0.022076713335104525,-0.021665189474417423,0.004020824195564876,-0.02865272499353322,Low,Performs at or above the formal reference group.
slang-heavy,60,0.6166666666666667,0.6179801894918174,0.4914999515757406,0.7327060320446428,0.19060647514819884,0.3627450980392157,0.3833333333333333,-0.03784791312758429,-0.030021246047370997,-0.040478418031547,-0.024629736487786102,Low,Performs at or above the formal reference group.
sarcasm,14,0.7857142857142857,0.7897435897435899,0.46746031746031746,1.0,0.11243386243386243,0.1619047619047619,0.2142857142857143,-0.2096113133793568,-0.10819385876170741,-0.24131875416600077,-0.1936773555354051,Low,Performs at or above the formal reference group.
formal,10398,0.5920369301788806,0.5801322763642331,0.5706684085212694,0.590027185537295,0.22062772119556984,0.4032235160707627,0.4079630698211194,0.0,0.0,0.0,0.0,Reference,Reference group. All comparisons are made against this.
